Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
Q16698	Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	2055.24	2809.11	2548.42	3295.43	2355.59	2407.18
Q16718	Q16718	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	692.619	810.638	730.254	696.342	978.311	745.912
Q16719	Q16719	KYNU_HUMAN	KYNU	Kynureninase	6927.65	6546.81	6420.33	6628.29	7144.66	6811.22
Q16740	Q16740	CLPP_HUMAN	CLPP	ATP-dependent Clp protease proteolytic subunit, mitochondrial	1559.35	1007.31	1112.1	1176.75	1067.1	1371.44
Q16763	Q16763	UBE2S_HUMAN	UBE2S	Ubiquitin-conjugating enzyme E2 S		1409.09	798.538			533.196
Q16773	Q16773	KAT1_HUMAN	KYAT1	Kynurenine--oxoglutarate transaminase 1		329.837		853.051	985.821	
Q16774	Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	995.526		1686.55	1205.76	705.464	
Q16775	Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	1414.58	1507.76	1364.39	1660.43	1063.54	1028
Q16795	Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	1710.04	1145.96	1359.2	1867.85	1364.03	1498.07
Q16822	Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	1788.79	981.758	908.282	834.498	1035.25	727.145
Q16836	Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	3258.65	3497.37	4042.4	3474.88	3834.03	3975.31
Q16850	Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase	994.178	1539.55	1664.41		1482.56	
Q16851	Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	3001.64	3040.99	2834.39	3287.57	2952.93	3338.82
Q16864	Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	1349.55	1259.88	1260.04	692.308		1197.92
Q16880	Q16880	CGT_HUMAN	UGT8	2-hydroxyacylsphingosine 1-beta-galactosyltransferase		459.167	2295.24	1160.24		571.526
Q16881	Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	8593.81	7503.39	7809.6	8470.95	8055.19	8688.58
Q16890	Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	855.397	957.217	762.423	1547.04	1066.89	937.017
Q16891	Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	2660.08	2613.75	2957.94	3074.45	2866.53	2837.57
Q1ED39	Q1ED39	KNOP1_HUMAN	KNOP1	Lysine-rich nucleolar protein 1				652.686		624.77
Q1KMD3	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	4307.43	4486.74	5320.81	5248.59	4836.42	4500.7
Q27J81	Q27J81	INF2_HUMAN	INF2	Inverted formin-2	1166.82	618.878	1448.01	1312.16	1561.51	497.15
Q29RF7	Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	1346.55	1189	1352.01	1291.46	1139.21	1299.02
Q2M389	Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4	908.934	477.802		802.647		
Q2NL82	Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog	1083.56	1210.62	1037.36	1148.01	1113.22	1047.87
Q2TAL8	Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1			586.709		561.249	559.651
Q2TAY7	Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1	1618.58	2070.28	2164.33	2189.2	1547.01	1788.23
Q2TB90	Q2TB90	HKDC1_HUMAN	HKDC1	Hexokinase HKDC1	1632.5	1340.8		2543.42	2559.5	
Q32MZ4	Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	1506.38	1312.72	1254.81	1789.92	1334.96	1719.57
Q32P28	Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1	1975.33	2180.25	2935.72	2503.03	2256.65	3052.58
Q3KQU3	Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1		590.111				
Q3LXA3	Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	873.528	1266.63	1004.31	869.528	972.071	1619.79
Q3MHD2	Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12 homolog	1052.58	658.923	1046.14	388.619	995.959	464.76
Q3YEC7	Q3YEC7	RABL6_HUMAN	RABL6	Rab-like protein 6		622.66	582.149		397.233	
Q3ZAQ7	Q3ZAQ7	VMA21_HUMAN	VMA21	Vacuolar ATPase assembly integral membrane protein VMA21	2449.67	2341.06	1827.29	3390.95	1391.02	
Q3ZCQ8	Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	1057.07	769.224	1476.15	369.879	910.227	1753.98
Q49A26	Q49A26	GLYR1_HUMAN	GLYR1	Putative oxidoreductase GLYR1				1130.46		1547.71
Q4G0J3	Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	303.743	567.595		236.734	608.301	
Q4G0N4	Q4G0N4	NAKD2_HUMAN	NADK2	NAD kinase 2, mitochondrial	551.237	345.986	385.489		737.591	491.773
Q4VC31	Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23	1058.72	980.303	1638.97	1719.69	1061.3	949.065
Q52LJ0	Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	887.974	1383.82	1702.64	1504.99	1070.66	1349.93
Q53EL6	Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	3278.28	3496.65	3514.36	3575.48	2973.95	3438.55
Q53FA7	Q53FA7	QORX_HUMAN	TP53I3	Quinone oxidoreductase PIG3		775.241				
Q53FT3	Q53FT3	HIKES_HUMAN	HIKESHI	Protein Hikeshi	433.269					
Q53GQ0	Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	2014.21	1441.85	1296.84	1283.53	1759.06	2085.23
Q53GS9	Q53GS9	SNUT2_HUMAN	USP39	U4/U6.U5 tri-snRNP-associated protein 2	855.187	1081.46	638.227	835.777	689.364	783.389
Q53H12	Q53H12	AGK_HUMAN	AGK	Acylglycerol kinase, mitochondrial		244.218		967.521	2087.24	534.043
Q53H96	Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3		517.202	723.538	452.682		604.584
Q53T59	Q53T59	H1BP3_HUMAN	HS1BP3	HCLS1-binding protein 3				4077.15		
Q562R1	Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2		3693.55		8061	3422.5	
Q56VL3	Q56VL3	OCAD2_HUMAN	OCIAD2	OCIA domain-containing protein 2		870.285		831.932		
Q5BJF2	Q5BJF2	SGMR2_HUMAN	TMEM97	Sigma intracellular receptor 2	2332.95	2584.18	2393.69	2819.75	2694.05	2591.89
Q5BJH7	Q5BJH7	YIF1B_HUMAN	YIF1B	Protein YIF1B		297.227		879.812	593.081	447.408
Q5BKZ1	Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	799.242			595.401	697.525	
Q5F1R6	Q5F1R6	DJC21_HUMAN	DNAJC21	DnaJ homolog subfamily C member 21	979.052	557.926	1830.88	832.13	1909.47	544.646
Q5H9R7	Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	1061.24	1172.86	1189.01	1192.99	823.14	1423.21
Q5HYI7	Q5HYI7	MTX3_HUMAN	MTX3	Metaxin-3	640.788	440.616		1043.47		580.459
Q5J8M3	Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4	566.304		637.794	1374.09	566.273	1443.75
Q5JPH6	Q5JPH6	SYEM_HUMAN	EARS2	Probable glutamate--tRNA ligase, mitochondrial	1024.32	620.81	1585.69			
Q5JRA6	Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog	748.663	274.888	679.788		514.398	224.021
Q5JRX3	Q5JRX3	PREP_HUMAN	PITRM1	Presequence protease, mitochondrial	967.653	674.262	659.15	980.48		1100.83
Q5JSH3	Q5JSH3	WDR44_HUMAN	WDR44	WD repeat-containing protein 44	731.443	925.377	1256.93	935.376	969.722	924.931
Q5JTH9	Q5JTH9	RRP12_HUMAN	RRP12	RRP12-like protein	1380.56	1099.53	1479.94	1898.62	998.823	1113.85
Q5JTJ3	Q5JTJ3	COA6_HUMAN	COA6	Cytochrome c oxidase assembly factor 6 homolog	1674.69	1487.48	1601.71	1256.51	1538.54	1003.68
Q5JTV8	Q5JTV8	TOIP1_HUMAN	TOR1AIP1	Torsin-1A-interacting protein 1	2348.54	1770.04	2111.45	1695.11	1643.33	2479.57
Q5JTZ9	Q5JTZ9	SYAM_HUMAN	AARS2	Alanine--tRNA ligase, mitochondrial	600.681			320.206		1172.55
Q5JVF3	Q5JVF3	PCID2_HUMAN	PCID2	PCI domain-containing protein 2	1474.62	1389.6	1226	472.959	1396.65	1734.41
Q5K651	Q5K651	SAMD9_HUMAN	SAMD9	Sterile alpha motif domain-containing protein 9		756.467			560.019	780.741
Q5M775	Q5M775	CYTSB_HUMAN	SPECC1	Cytospin-B		482.358	707.069		194.893	
Q5MY95	Q5MY95	ENTP8_HUMAN	ENTPD8	Ectonucleoside triphosphate diphosphohydrolase 8	2417.15			2587.78		
Q5QJE6	Q5QJE6	TDIF2_HUMAN	DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2		658.591	608.145	701.984	916.882	1213.14
Q5R3I4	Q5R3I4	TTC38_HUMAN	TTC38	Tetratricopeptide repeat protein 38			1341.2		1067.1	883.423
Q5RI15	Q5RI15	COX20_HUMAN	COX20	Cytochrome c oxidase assembly protein COX20, mitochondrial	1258.71	1223.64	1016.13	581.88	2377.05	1180.73
Q5RKV6	Q5RKV6	EXOS6_HUMAN	EXOSC6	Exosome complex component MTR3	894.851	1374.39	1415.31	1029.91	1241.31	929.583
Q5SRE5	Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188	1097.2		832.185			970.119
Q5SSJ5	Q5SSJ5	HP1B3_HUMAN	HP1BP3	Heterochromatin protein 1-binding protein 3	3571.99	4756.11	4123.48	4273.64	4064.55	3754.69
Q5SY16	Q5SY16	NOL9_HUMAN	NOL9	Polynucleotide 5'-hydroxyl-kinase NOL9					359.735	
Q5T4S7	Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4	1657.1	1447.01	1862.77	1572.37	1526.84	1679.91
Q5T653	Q5T653	RM02_HUMAN	MRPL2	39S ribosomal protein L2, mitochondrial	409.991	1249.16	1095.65	975.893		773.985
Q5T6F2	Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2	735.867	1015.14	1244.56	940.104	1189.45	995.666
Q5T6V5	Q5T6V5	QSPP_HUMAN	C9orf64	Queuosine salvage protein	834.545	886.093	858.637	1579.27	1435.81	1176.45
Q5T8P6	Q5T8P6	RBM26_HUMAN	RBM26	RNA-binding protein 26	610.59	629.987			539.88	
Q5T9A4	Q5T9A4	ATD3B_HUMAN	ATAD3B	ATPase family AAA domain-containing protein 3B				1016.35		443.237
Q5TDH0	Q5TDH0	DDI2_HUMAN	DDI2	Protein DDI1 homolog 2	530.711	691.682			1186.71	1233.05
Q5TEC6	Q16695;Q6NXT2;P68431;Q71DI3;Q5TEC6;P84243	H37_HUMAN	H3-7	Histone H3-7	374014	384095	373062	393493	396995	400477
Q5TFE4	Q5TFE4	NT5D1_HUMAN	NT5DC1	5'-nucleotidase domain-containing protein 1	992.913	1109.46	977.75	971.325	720.238	482.699
Q5TZA2	Q5TZA2	CROCC_HUMAN	CROCC	Rootletin	11039.4	13050.7	10039.9	10206.9		
Q5UIP0	Q5UIP0	RIF1_HUMAN	RIF1	Telomere-associated protein RIF1			781.98	750.327		629.056
Q5VT52	Q5VT52	RPRD2_HUMAN	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2		1110.98	532.398		628.063	
Q5VTL8	Q5VTL8	PR38B_HUMAN	PRPF38B	Pre-mRNA-splicing factor 38B	1674.89	800.509	1525.77	1240.24	4065.55	
Q5VTR2	Q5VTR2	BRE1A_HUMAN	RNF20	E3 ubiquitin-protein ligase BRE1A	395.868	912.316	464.922			727.663
Q5VW32	Q5VW32	BROX_HUMAN	BROX	BRO1 domain-containing protein BROX	1089.71	1283.59	1083.81	1437.27	713.258	1224.51
Q5VYK3	Q5VYK3	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29	1142.8	745.918	796.562	1191.4	906.42	755.577
Q5VZF2;Q9NR56	Q5VZF2;Q9NR56;Q9NUK0	MBNL1_HUMAN;MBNL2_HUMAN	MBNL1;MBNL2	Muscleblind-like protein 2	3443.96	2488.94	1886.91	2302.7	1363.36	2008.66
Q5ZPR3	Q5ZPR3	CD276_HUMAN	CD276	CD276 antigen	525.276	146.29				
Q63HN8	Q63HN8	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213	1913.64	794.837	1348.38	895.973	917.529	
Q63ZY3	Q63ZY3	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2	1342.87	928.576	501.599	540.134	582.081	
Q658P3	Q658P3	STEA3_HUMAN	STEAP3	Metalloreductase STEAP3		913.898	636.537	346.526	473.457	
Q66K74	Q66K74	MAP1S_HUMAN	MAP1S	Microtubule-associated protein 1S					842.019	
Q66PJ3	Q66PJ3	AR6P4_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4	1833.24	1637.95	3024.72	1376.18		
Q68BL8	Q68BL8	OLM2B_HUMAN	OLFML2B	Olfactomedin-like protein 2B		502.525	492.871	489.374		
Q68E01	Q68E01	INT3_HUMAN	INTS3	Integrator complex subunit 3	394.516	426.716			145.062	
Q68EM7	Q68EM7	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17	2355.89	2238.43	2094.71	1604.43	2659.22	1837
Q6DD88	Q6DD88	ATLA3_HUMAN	ATL3	Atlastin-3	915.512	632.381	1101.06	1558.04	972.99	706.025
Q6DKI1	Q6DKI1	RL7L_HUMAN	RPL7L1	60S ribosomal protein L7-like 1	733.279	659.754	684.411	915.03		801.28
Q6DKJ4	Q6DKJ4	NXN_HUMAN	NXN	Nucleoredoxin	1239.71			853.767	1588.06	1131.87
Q6EMK4	Q6EMK4	VASN_HUMAN	VASN	Vasorin	802.759	1189.42		425.812		983.262
Q6FI81	Q6FI81	CPIN1_HUMAN	CIAPIN1	Anamorsin	2294.06	2148.62	2278.39	2443.55	1840.17	2346.45
Q6GMV3	Q6GMV3	PTRD1_HUMAN	PTRHD1	Putative peptidyl-tRNA hydrolase PTRHD1	519.83	962.058	1157.16			
Q6IAA8	Q6IAA8	LTOR1_HUMAN	LAMTOR1	Ragulator complex protein LAMTOR1	2333.62	2150.36	2007.66	2104.65	2031.82	2235.46
Q6IBS0	Q6IBS0	TWF2_HUMAN	TWF2	Twinfilin-2	635.949	850.359	1595.68	671.239	780.508	1409.36
Q6KB66	Q6KB66;CONT|Q6KB66|K2C80_HUMAN	K2C80_HUMAN	KRT80	Keratin, type II cytoskeletal 80		986.65	1791.69	1107.81	858.455	724.498
Q6L8Q7	Q6L8Q7	PDE12_HUMAN	PDE12	2',5'-phosphodiesterase 12	2238.11	2191.25	1094.01	1853.54	1878.5	1613.04
Q6MZW2	Q6MZW2	FSTL4_HUMAN	FSTL4	Follistatin-related protein 4	530.663	1460.8	1169.84	1164.63	873.009	1340.46
Q6NUK1	Q6NUK1	SCMC1_HUMAN	SLC25A24	Calcium-binding mitochondrial carrier protein SCaMC-1	2912.21	2897.33	3102.59	2874.29	3230.31	2755.45
Q6NUQ4	Q6NUQ4	TM214_HUMAN	TMEM214	Transmembrane protein 214	1026.77	1199.96	1305.45	1083.24	1319.74	1519.8
Q6NVY1	Q6NVY1	HIBCH_HUMAN	HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	1825.89	2042.54	1314.33	1777.14	2078.27	1243.37
Q6NYC1	Q6NYC1	JMJD6_HUMAN	JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	583.768					
Q6NYC8	Q6NYC8	PPR18_HUMAN	PPP1R18	Phostensin					711.417	
Q6NZI2	Q6NZI2	CAVN1_HUMAN	CAVIN1	Caveolae-associated protein 1	1760.9	2101.14	1832.88	1617.16	1689.29	1844.48
Q6P161	Q6P161	RM54_HUMAN	MRPL54	39S ribosomal protein L54, mitochondrial	1199.14			1230.8	1257.26	1225.38
Q6P1J9	Q6P1J9	CDC73_HUMAN	CDC73	Parafibromin	1665.74	912.854	618.427		939.292	682.618
Q6P1L8	Q6P1L8	RM14_HUMAN	MRPL14	39S ribosomal protein L14, mitochondrial	693.671	627.476	596.296	697.369		
Q6P1N0	Q6P1N0	C2D1A_HUMAN	CC2D1A	Coiled-coil and C2 domain-containing protein 1A		409.633		896.221		744.295
Q6P1N9	Q6P1N9	TATD1_HUMAN	TATDN1	Deoxyribonuclease TATDN1		1148.49		1573.11	9356.81	7368.18
Q6P1X6	Q6P1X6	CH082_HUMAN	C8orf82	UPF0598 protein C8orf82			724.987	635.014	451.047	423.07
Q6P2E9	Q6P2E9	EDC4_HUMAN	EDC4	Enhancer of mRNA-decapping protein 4	2455.31	1328.82	1711.22	1220.23	1316.16	1244.14
Q6P2Q9	Q6P2Q9	PRP8_HUMAN	PRPF8	Pre-mRNA-processing-splicing factor 8	3522.77	3671.7	3552.08	3896.38	3933.83	3466.32
Q6P3W7	Q6P3W7	SCYL2_HUMAN	SCYL2	SCY1-like protein 2	426.885		414.619		479.305	
Q6P587	Q6P587	FAHD1_HUMAN	FAHD1	Acylpyruvase FAHD1, mitochondrial		543.879	1081.98	702.261	812.937	1198.28
Q6P996	Q6P996	PDXD1_HUMAN	PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1	1535.28	2178.78	1928.32	1615.94	1496.3	1801.76
Q6PD62	Q6PD62	CTR9_HUMAN	CTR9	RNA polymerase-associated protein CTR9 homolog			1027.78	768.597	1319.43	1168.14
Q6PGP7	Q6PGP7	TTC37_HUMAN	TTC37	Tetratricopeptide repeat protein 37	496.666	651.504	1704.28	1763.98	746.295	602.343
Q6PI48	Q6PI48	SYDM_HUMAN	DARS2	Aspartate--tRNA ligase, mitochondrial	1547.33	1492.05	1660.45	1472.57	1437	1317.05
Q6PIU2	Q6PIU2	NCEH1_HUMAN	NCEH1	Neutral cholesterol ester hydrolase 1	1444.06	690.752	1941.43	1456.23	1898.97	916.407
Q6PJG6	Q6PJG6	BRAT1_HUMAN	BRAT1	BRCA1-associated ATM activator 1	509.946		1069.78		455.544	806.296
Q6PJT7	Q6PJT7	ZC3HE_HUMAN	ZC3H14	Zinc finger CCCH domain-containing protein 14	582.582	634.602	987.284		955.462	1012.99
Q6PKG0	Q6PKG0	LARP1_HUMAN	LARP1	La-related protein 1	2516.49	2514.64	2437.82	2164.97	2311.91	2386
Q6PL18	Q6PL18	ATAD2_HUMAN	ATAD2	ATPase family AAA domain-containing protein 2		536.61			536.294	
Q6RFH5	Q6RFH5	WDR74_HUMAN	WDR74	WD repeat-containing protein 74	861.63			1209.34		528.275
Q6RW13	Q6RW13	ATRAP_HUMAN	AGTRAP	Type-1 angiotensin II receptor-associated protein	544.674	592.832	455.216	984.77	1121.73	1432.58
Q6UB35	Q6UB35	C1TM_HUMAN	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	2855.98	2417.72	2359.91	2669.88	3017.75	2547.78
Q6UN15	Q6UN15	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1	1775.62	1344.45	1438.4	1642.56	1290.34	986.705
Q6UW63	Q6UW63	PLGT2_HUMAN	POGLUT2	Protein O-glucosyltransferase 2	686.946	861.919	634.969			478.466
Q6UW68	Q6UW68	TM205_HUMAN	TMEM205	Transmembrane protein 205	743.102	547.33	278.592	596.637		568.326
Q6UWE0	Q6UWE0	LRSM1_HUMAN	LRSAM1	E3 ubiquitin-protein ligase LRSAM1				1053.79		
Q6UX04	Q6UX04	CWC27_HUMAN	CWC27	Spliceosome-associated protein CWC27 homolog		496.716	491.698	437.254		
Q6UXH1	Q6UXH1	CREL2_HUMAN	CRELD2	Protein disulfide isomerase CRELD2	1868.07	1811.48		1790.19	2158.32	2732.42
Q6UXN9	Q6UXN9	WDR82_HUMAN	WDR82	WD repeat-containing protein 82				1493.3	2382.63	1452.26
Q6VY07	Q6VY07	PACS1_HUMAN	PACS1	Phosphofurin acidic cluster sorting protein 1			785.858	302.081		1164.15
Q6WCQ1	Q6WCQ1	MPRIP_HUMAN	MPRIP	Myosin phosphatase Rho-interacting protein	1007.1	1326.92	1050.36	673.201		763.546
Q6XQN6	Q6XQN6	PNCB_HUMAN	NAPRT	Nicotinate phosphoribosyltransferase	2327.44	2329.57	2051.58	2360.78	2389.64	2060.43
Q6XZF7	Q6XZF7	DNMBP_HUMAN	DNMBP	Dynamin-binding protein						733.993
Q6Y1H2	Q6Y1H2	HACD2_HUMAN	HACD2	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2	355.705					
Q6Y7W6	Q6Y7W6	GGYF2_HUMAN	GIGYF2	GRB10-interacting GYF protein 2	2203.65				1744.44	2076.61
Q6YN16	Q6YN16	HSDL2_HUMAN	HSDL2	Hydroxysteroid dehydrogenase-like protein 2	2989.8	2555.7	2348.5	2719.22	1598.65	1720.69
Q6YP21	Q6YP21	KAT3_HUMAN	KYAT3	Kynurenine--oxoglutarate transaminase 3	459.222	789.449			1074.47	
Q6ZVM7	Q6ZVM7	TM1L2_HUMAN	TOM1L2	TOM1-like protein 2		539.616				
Q6ZXV5	Q6ZXV5	TMTC3_HUMAN	TMTC3	Protein O-mannosyl-transferase TMTC3				816.973	12107.3	
Q70E73	Q70E73	RAPH1_HUMAN	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1	348.115				580.928	
Q70J99	Q70J99	UN13D_HUMAN	UNC13D	Protein unc-13 homolog D	1079.97				541.898	356.151
Q70UQ0	Q70UQ0	IKIP_HUMAN	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein	1319.32	1076.41	1041.56	1156.45	756.024	1208.1
Q712K3	Q712K3	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2	622.909	690.165		995.337	773.513	844.611
Q76FK4	Q76FK4	NOL8_HUMAN	NOL8	Nucleolar protein 8			428.788			
Q7KZ85	Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6	830.293		1336.6	1180.13		
Q7KZF4	Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1	9465.55	8763.75	8963.69	9260.07	8686.45	8543.87
Q7L014	Q7L014	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46	2469.45	2344.83	2099.23	1846.62	2546.4	2139.39
Q7L0Y3	Q7L0Y3	TM10C_HUMAN	TRMT10C	tRNA methyltransferase 10 homolog C	1724.25	2194.1	1438.92	1492.92	1635.3	1876.45
Q7L1Q6	Q7L1Q6	5MP2_HUMAN	BZW1	eIF5-mimic protein 2	8142.43	7912.2	8497.9	8295.36	7154.67	7757.81
Q7L1T6	Q7L1T6	NB5R4_HUMAN	CYB5R4	Cytochrome b5 reductase 4	5861.34	4615.5	4737.15	7207.05		
Q7L2E3	Q7L2E3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30	1511.8	1836.28	2019.92	2019.4	1840.59	2010.71
Q7L2H7	Q7L2H7	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M	1411.65	1399.52	1338.85	1556.04	1652.2	2127.39
Q7L576	Q7L576	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1	2122.4	2004.82	1947.97	1779.43	1735.64	1505.02
Q7L592	Q7L592	NDUF7_HUMAN	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial		529.731	476.901			
Q7L5D6	Q7L5D6	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog		604.748	797.914	821.381		410.508
Q7L5N1	Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	1818.08	1287.2	1287.17	2954.1	2084.58	1691.42
Q7L5Y1	Q7L5Y1	ENOF1_HUMAN	ENOSF1	Mitochondrial enolase superfamily member 1			493.304			980.246
Q7L9L4;Q9H8S9	Q7L9L4;Q9H8S9	MOB1A_HUMAN;MOB1B_HUMAN	MOB1A;MOB1B	MOB kinase activator 1B	1363.29	992.141	1061.74	601.429	1530.24	825.602
Q7LBR1	Q7LBR1	CHM1B_HUMAN	CHMP1B	Charged multivesicular body protein 1b		2594.83	2559.18	1752.69		1552.27
Q7RTV0	Q7RTV0	PHF5A_HUMAN	PHF5A	PHD finger-like domain-containing protein 5A	3064.17	2207.97	4055.89	2657.17	2479.8	2861.17
Q7Z2K6	Q7Z2K6	ERMP1_HUMAN	ERMP1	Endoplasmic reticulum metallopeptidase 1					707.417	
Q7Z2W4	Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	1158.6	1239.15	1579.88	1448.16	1307.38	1460.26
Q7Z2W9	Q7Z2W9	RM21_HUMAN	MRPL21	39S ribosomal protein L21, mitochondrial	1625.71	1445.23			1779.21	
Q7Z3B4	Q7Z3B4	NUP54_HUMAN	NUP54	Nucleoporin p54	1088.12	1085.77	880.499	681.651	379.1	1736.42
Q7Z417	Q7Z417	NUFP2_HUMAN	NUFIP2	Nuclear fragile X mental retardation-interacting protein 2	996.902	987.532	727.075	402.409	672.295	1295.53
Q7Z460	Q7Z460	CLAP1_HUMAN	CLASP1	CLIP-associating protein 1	1296.52	1051.02		1099.96		1242.64
Q7Z478	Q7Z478	DHX29_HUMAN	DHX29	ATP-dependent RNA helicase DHX29		359.361				
Q7Z4Q2	Q7Z4Q2	HEAT3_HUMAN	HEATR3	HEAT repeat-containing protein 3	501.931			628.27		484.003
Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	HDGFL2	Hepatoma-derived growth factor-related protein 2	1157.1	1159.48	736.168	992.77		524.667
Q7Z5L9	Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2						740.764
Q7Z6E9	Q7Z6E9	RBBP6_HUMAN	RBBP6	E3 ubiquitin-protein ligase RBBP6	421.347	347.948				
