Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
P61765	P61765	STXB1_RAT	Stxbp1	Syntaxin-binding protein 1	936.367		1502.76	626.883	767.222	1199.65	1253.68
P61808	P61808	SNN_RAT	Snn	Stannin							146.404
P61928	D4A201;P61928;D4A7Z2;A0A8I6AMR3;A0A8I5ZUB4	RL37_RAT	Rpl37	Large ribosomal subunit protein eL37	1526.46		998.05	1428.59		1316.72	4710.39
P61959;Q5XIF4	Q5XIF4;P61959	SUMO2_RAT;SUMO3_RAT	Sumo2;Sumo3	Small ubiquitin-related modifier 2							113.579
P61972	P61972;A0A8I6ABF4	NTF2_RAT	Nutf2	Nuclear transport factor 2						520.608	95.583
P61980	P61980;M0R9K1	HNRPK_RAT	Hnrnpk	Heterogeneous nuclear ribonucleoprotein K	2152.76		1036.99	1643.4		1285.79	1300.42
P61983	P61983	1433G_RAT	Ywhag	14-3-3 protein gamma							207.263
P62074	P62074	TIM10_RAT	Timm10	Mitochondrial import inner membrane translocase subunit Tim10						381.024	302.019
P62076	P62076	TIM13_RAT	Timm13	Mitochondrial import inner membrane translocase subunit Tim13			752.694			669.11	233.815
P62078	P62078	TIM8B_RAT	Timm8b	Mitochondrial import inner membrane translocase subunit Tim8 B	378.663		993.554	957.499		920.028	886.858
P62083	A0A8I6GEL5;P62083;A0A8I6AEL1	RS7_RAT	Rps7	Small ribosomal subunit protein eS7	4763.89	439.318	3103.36	3954.93	968.158	4899.67	6520.34
P62193	P62193	PRS4_RAT	Psmc1	26S proteasome regulatory subunit 4	556.357		1021.67			385.052	409.259
P62198	P62198	PRS8_RAT	Psmc5	26S proteasome regulatory subunit 8			1938.21			1342.54	1126.35
P62243	Q6TXJ0;D3ZIE1;P62243;M0R7Q5	RS8_RAT	Rps8	Small ribosomal subunit protein eS8	997.337		956.869	877.725		1231.85	778.085
P62246	D3ZLL8;P62246;D3ZZC7	RS15A_RAT	Rps15a	Small ribosomal subunit protein uS8			25.6457	1246.61		345.644	466.595
P62250	P62250	RS16_RAT	Rps16	Small ribosomal subunit protein uS9	1261.98		2023.7	1981.12		2181.01	2703.06
P62260	P62260	1433E_RAT	Ywhae	14-3-3 protein epsilon							131.819
P62268	F1LTW8;D4A9Q3;P62268	RS23_RAT	Rps23	Small ribosomal subunit protein uS12	413.019		1258.6	769.433		828.599	759.002
P62271	D3ZM33;P62271;A0A0G2KA79	RS18_RAT	Rps18	Small ribosomal subunit protein uS13	909.347		638.44	489.51	385.424	761.404	490.497
P62275	A0A8L2QNB2;A0A8L2ULK7;A0A8I6ACA6;P62275	RS29_RAT	Rps29	Small ribosomal subunit protein uS14	1395.97		464.224			1441.32	2449.94
P62278	P62278;M0RCY2	RS13_RAT	Rps13	Small ribosomal subunit protein uS15			314.447	599.601			1272.66
P62282	P62282;A0A8I5Y1A5	RS11_RAT	Rps11	Small ribosomal subunit protein uS17	748.529		1180.91	1104.43		1381.68	1270.53
P62425	P62425;F1M1M2;D3ZU22;D3ZJH5;D3ZNA3;D3ZPL5;A0A8I6AMN7;F1M2Q3;D4A6B9	RL7A_RAT	Rpl7a	Large ribosomal subunit protein eL8	426.829		398.596			455.256	399.847
P62628	P62628	DLRB1_RAT	Dynlrb1	Dynein light chain roadblock-type 1	5906.85		2859.37	3507.46	667.715	4117.8	10434.1
P62630	P62630;F1M6C2;M0R757	EF1A1_RAT	Eef1a1	Elongation factor 1-alpha 1	2969.03		4784.32	5634.61	1285.3	6577.25	5099.9
P62632	P62632	EF1A2_RAT	Eef1a2	Elongation factor 1-alpha 2	10281.9	938.359	9313.84	14471.3	1885.69	11862.7	12157.6
P62703	D3ZX01;P62703	RS4X_RAT	Rps4x	Small ribosomal subunit protein eS4			2346.95	2530.42		3212.91	1779.44
P62716	A0A0G2JYA4;P63331;P62716	PP2AB_RAT	Ppp2cb	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	1048.47		882.802	1013.33	475.338	803.778	1052.46
P62718	P62718	RL18A_RAT	Rpl18a	Large ribosomal subunit protein eL20			528.099	533.345			1019.58
P62747	P62747	RHOB_RAT	Rhob	Rho-related GTP-binding protein RhoB							227.912
P62749;P84076;Q5PQN0	P84076;Q5PQN0;P62749	HPCA_RAT;HPCL1_RAT;NCALD_RAT	Hpca;Hpcal1;Ncald	Hippocalcin-like protein 1							165.81
P62752	P62752;F1LT35	RL23A_RAT	Rpl23a	Large ribosomal subunit protein uL23	6000.9	308.359	4893.33	4154.05	387.684	5365.95	8156.53
P62755	P51639;P61751;P62755;P53042	RS6_RAT	Rps6	Small ribosomal subunit protein eS6	132336	30306.8	102016	147884	56964.2	90796.9	128941
P62804	P62804	H4_RAT	H4c16	Histone H4	1835.18	629.135	2774.98	1891.39	5321.46	1123.49	1373.06
P62824	Q63941;P62824	RAB3C_RAT	Rab3c	Ras-related protein Rab-3C				282.402	404.119	517.541	377.232
P62828	P62828	RAN_RAT	Ran	GTP-binding nuclear protein Ran	3366.37	312.273	4334.97	2569.09		3232.04	3408.63
P62832	P62832	RL23_RAT	Rpl23	Large ribosomal subunit protein uL14	565.157		448.509	514.723		333.001	562.913
P62836;Q62636	Q62636;P62836	RAP1A_RAT;RAP1B_RAT	Rap1a;Rap1b	Ras-related protein Rap-1A	675.044		413.548	1916.71	717.141	585.847	762.136
P62850	P62850;D3ZFZ8;A0A8I5Y191;D4ACJ1	RS24_RAT	Rps24	Small ribosomal subunit protein eS24						260.172	319.527
P62853	M0R763;F1M6F4;P62853	RS25_RAT	Rps25	Small ribosomal subunit protein eS25	2458.03	796.856	2048.18	3030.38		2894.82	2728.18
P62856	P62856	RS26_RAT	Rps26	Small ribosomal subunit protein eS26							2262.24
P62859	A0A8I6APW3;P62859;A0A0A0MY14	RS28_RAT	Rps28	Small ribosomal subunit protein eS28	2468.38		2131.3	3086.54		2730.11	3527.06
P62890	P62890;F1M3Q4	RL30_RAT	Rpl30	Large ribosomal subunit protein eL30	8931.12	1626.73	6204.37	5421.97	449.334	4575.62	5983.42
P62893	P62893	RL39_RAT	Rpl39	Large ribosomal subunit protein eL39	350.241						1275.35
P62902	P62902;D3ZDE9;A0A0G2K7E3;D3ZVY6;D3ZKU5;D3ZX87;D3ZVF5	RL31_RAT	Rpl31	Large ribosomal subunit protein eL31	1625.93		2440.47	1737.39		3661.48	1030.72
P62907	F1LYQ7;A0A8I5ZRG4;A0A8I6A8X9;A0A8I5ZVS9;P62907;A0A8I5ZRE5	RL10A_RAT	Rpl10a	Large ribosomal subunit protein uL1	346.161		773.782	387.076		552.866	464.223
P62909	P62909;A0A8I6GGS4	RS3_RAT	Rps3	Small ribosomal subunit protein uS3			729.021	841.093		1014.49	730.047
P62912	P62912;A0A8L2ULN5;D4A412	RL32_RAT	Rpl32	Large ribosomal subunit protein eL32	2007.25		1780.58	2685.28		4489.69	2435.37
P62914	P62914	RL11_RAT	Rpl11	Large ribosomal subunit protein uL5	1620.78		1044.83	1657.79	787.036	2207.65	2193.72
P62919	P62919;D4A6W6	RL8_RAT	Rpl8	Large ribosomal subunit protein uL2	3003.52		2818.16	4125.57	539.208	4670.18	8915.99
P62959	A0A8I6AVX1;P62959	HINT1_RAT	Hint1	Adenosine 5'-monophosphoramidase HINT1			474.637	830.857		945.886	1131.95
P62961	A0A8I6GL75;P62961;D3ZEG0	YBOX1_RAT	Ybx1	Y-box-binding protein 1							636.533
P62963	P02584;P62963	PROF1_RAT	Pfn1	Profilin-1	1088.59		1158.6	1098.24	1813.95	1609.92	1757.72
P62997	P62997	TRA2B_RAT	Tra2b	Transformer-2 protein homolog beta	474.336		480.088	593.897			1247.68
P63012;Q63942	P63012;Q63942	RAB3A_RAT;RAB3D_RAT	Rab3a;Rab3d	Ras-related protein Rab-3A							73.646
P63018	P63018;A0A8I6AQL9	HSP7C_RAT	Hspa8	Heat shock cognate 71 kDa protein	4092.62	1878.65	7896.04	8539.55	1655.6	9519.23	8198.74
P63025	P63025	VAMP3_RAT	Vamp3	Vesicle-associated membrane protein 3				282.538		418.409	424.805
P63045	P63045	VAMP2_RAT	Vamp2	Vesicle-associated membrane protein 2	920.334		384.513	347.296	668.503	678.247	1468.19
P63074	P63074;A0A8I6G664	IF4E_RAT	Eif4e	Eukaryotic translation initiation factor 4E			722.084				307.647
P63086	P63086	MK01_RAT	Mapk1	Mitogen-activated protein kinase 1	169.444		346.703			253.926	497.03
P63102	P63102	1433Z_RAT	Ywhaz	14-3-3 protein zeta/delta	818.841	500.738	1496.35	1592.29		1561.33	1496.15
P63144	P63144	KCAB1_RAT	Kcnab1	Voltage-gated potassium channel subunit beta-1							140.369
P63165	P63165;A0A8I6GMR5	SUMO1_HUMAN	SUMO1	Small ubiquitin-related modifier 1				508.066		533.001	236.89
P63174	D4AD70;D4A862;P63174;D3ZZH2	RL38_RAT	Rpl38	Large ribosomal subunit protein eL38							213.662
P63245	P63245	RACK1_RAT	Rack1	Small ribosomal subunit protein RACK1	1018.89		684.799	1577.2		1138.1	450.824
P63255	P63255	CRIP1_RAT	Crip1	Cysteine-rich protein 1	3907		379.274			487.906	3715.16
P63279;P63281	P63279;P63281;A0A8I5ZZH6	UBC9_HUMAN;UBC9_RAT	UBE2I;Ube2i	SUMO-conjugating enzyme UBC9			168.673				269.021
P63312	A0A8I6GL50;P63312;A0A8L2QPJ1	TYB10_RAT	Tmsb10	Thymosin beta-10							122.092
P63324	A0A8I5ZX29;A0A8I6AWW2;P63324;D3ZEB8;A0A8I6AKK1;D3ZG05	RS12_RAT	Rps12	Small ribosomal subunit protein eS12						353.223	343.152
P63326	D3ZH53;P63326	RS10_RAT	Rps10	Small ribosomal subunit protein eS10			245.969			537.309	551.486
P67779	P67779	PHB1_RAT	Phb1	Prohibitin 1	907.085		1514.85	1055.82	1526.71	1356.93	1662.38
P68101	P68101	IF2A_RAT	Eif2s1	Eukaryotic translation initiation factor 2 subunit 1							98.6466
P68255	P68255	1433T_RAT	Ywhaq	14-3-3 protein theta	232.016		965.744			1242.92	1038.98
P68370;Q6P9V9	P68370;Q5XIF6;Q68FR8;Q6P9V9;Q6AY56	TBA1A_RAT;TBA1B_RAT	Tuba1a;Tuba1b	Tubulin alpha-1A chain	3339.92	733.779	3729.51	3176.88	808.753	3504.5	3907.38
P68511	P68511	1433F_RAT	Ywhah	14-3-3 protein eta	5297.07	1121.96	5429.98	4841.37	2905.8	7437.52	7890.85
P69682	P69682	NECP1_RAT	Necap1	Adaptin ear-binding coat-associated protein 1						410.011	127.625
P69736	P69736	EDF1_RAT	Edf1	Endothelial differentiation-related factor 1	970.521		441.376				580.798
P69897	P69897;Q4QRB4;P85108;Q3KRE8	TBB5_RAT	Tubb5	Tubulin beta-5 chain	34522	2724.74	40090.2	35551.9	8709.51	39172.8	34281
P70483	P70483	STRN_RAT	Strn	Striatin						482.14	156.965
P70490	P70490	MFGM_RAT	Mfge8	Lactadherin				528.69			271.652
P70501	P70501;B2GV05	RBM10_RAT	Rbm10	RNA-binding protein 10							59.707
P70541	P70541	EI2BG_RAT	Eif2b3	Translation initiation factor eIF-2B subunit gamma	272.712					345.197	199.341
P70552	P70552	GFRP_RAT	Gchfr	GTP cyclohydrolase 1 feedback regulatory protein			344.991	1034.01			105.774
P70581	P70581	NUP58_RAT	Nup58	Nucleoporin p58/p45	1128.84		1632.47	643.201	1188.38	1833.94	1420.72
P70583	P70583	DUT_RAT	Dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase							48.938
P70606	D4ABX8;Q4V7C1;P70606;W8CC80	KCNN1_RAT	Kcnn1	Small conductance calcium-activated potassium channel protein 1	1774.4	898.683	1491.62	1095.07	980.99	989.922	1137.43
P70619	P70619	GSHR_RAT	Gsr	Glutathione reductase (Fragment)	1362.5		1151.5			1360.95	1106.8
P70705	P70705	ATP7A_RAT	Atp7a	Copper-transporting ATPase 1							187.51
P80067	P80067	CATC_RAT	Ctsc	Dipeptidyl peptidase 1							72.9294
P80254	P80254	DOPD_RAT	Ddt	D-dopachrome decarboxylase	258.139		390.354	513.889	586.582	1393.7	1339.05
P81155	A0A8I5ZYN2;P81155	VDAC2_RAT	Vdac2	Voltage-dependent anion-selective channel protein 2	348.001		840.57	946.66	1241.86	922.624	543.842
P82995	P82995	HS90A_RAT	Hsp90aa1	Heat shock protein HSP 90-alpha	686.571		1546.75	1600.33	618.797	1944.55	1126.38
P83556	P83556	KI3L1_RAT	Kir3dl1	Killer cell immunoglobulin-like receptor 3DL1	534.648		1099.09			476.367	411.909
P83565	A0A8I5ZP13;P83565	RM40_RAT	Mrpl40	Large ribosomal subunit protein mL40							384.301
P83732	P83732	RL24_RAT	Rpl24	Large ribosomal subunit protein eL24	542.535		626.802	682.718		694.982	2096.2
P83871	P83871	PHF5A_RAT	Phf5a	PHD finger-like domain-containing protein 5A	487.746					391.574	285.189
P83883	P83883;F8WFR5	RL36A_RAT	Rpl36a	Large ribosomal subunit protein eL42			616.117				1172.13
P83888	P83888	TBG1_RAT	Tubg1	Tubulin gamma-1 chain	913.375		1378.34	1299.68	1676.38		138.174
P83941	P83941	ELOC_RAT	Eloc	Elongin-C	71460.7	20037.2	54256.1	1786.69	25540.5	6911.96	67872.3
P83953	P83953	IMA5_RAT	Kpna1	Importin subunit alpha-5	684.395		285.942				403.831
P84100	P84100	RL19_RAT	Rpl19	Large ribosomal subunit protein eL19	3685.79		2132.04	1399.91	818.146	1724.81	7693.45
P84245	A0A8I6A289;D3ZJ08;P84245;Q6LED0;D3ZK97;A0A8I6A9Y9	H33_RAT	H3-3b	Histone H3.3	3445.64	3034.17	11468.2	6379.07	13934.1	5114.73	6184.84
P85108	P85108;Q3KRE8	TBB2A_RAT	Tubb2a	Tubulin beta-2A chain	2806.13	615.723	3377.09	3501.68	1726.86	4730.1	3961.53
P85515	P85515	ACTZ_RAT	Actr1a	Alpha-centractin							341.533
P85845	P85845	FSCN1_RAT	Fscn1	Fascin	542.118		988.311	1727.61	408.835	534.161	413.498
P85970	P85970	ARPC2_RAT	Arpc2	Actin-related protein 2/3 complex subunit 2	2053.27		758.142	1309.17	1309.95	454.881	556.181
P85971	P85971	6PGL_RAT	Pgls	6-phosphogluconolactonase	443.475			1447.7		308.857	543.295
P85972	P85972	VINC_RAT	Vcl	Vinculin							79.6452
P85973	P85973	PNPH_RAT	Pnp	Purine nucleoside phosphorylase			164.95	540.95	486.642	209.147	103.423
P86172	P86172	NMRL1_RAT	Nmral1	NmrA-like family domain-containing protein 1	368.736		318.339			194.866	568.418
P86182	P86182	CCD22_RAT	Ccdc22	Coiled-coil domain-containing protein 22							219.977
P86252	P86252	PURA_RAT	Pura	Transcriptional activator protein Pur-alpha			219.818	641.99		1011.23	288.267
P86410	P86410	RLGPB_RAT	Ralgapb	Ral GTPase-activating protein subunit beta	1775.37						4090.55
P97532	P97532	THTM_RAT	Mpst	3-mercaptopyruvate sulfurtransferase			952.656			626.44	267.186
P97536	P97536	CAND1_RAT	Cand1	Cullin-associated NEDD8-dissociated protein 1	710.786		371.14			621.053	760.042
P97541	P97541	HSPB6_RAT	Hspb6	Heat shock protein beta-6							268.014
P97571	P97571	CAN1_RAT	Capn1	Calpain-1 catalytic subunit	644.83		1033.61			466.355	1002.47
P97584	P97584	PTGR1_RAT	Ptgr1	Prostaglandin reductase 1			708.627	646.339		3124.57	451.721
P97588;Q9R1V3	P97588;Q9R1V3	SMAD1_RAT;SMAD5_RAT	Smad1;Smad5	Mothers against decapentaplegic homolog 1							238.13
P97603	P97603	NEO1_RAT	Neo1	Neogenin (Fragment)	844.237		1002.32	601.952	1011.57	669.141	1672.32
P97629	P97629	LCAP_RAT	Lnpep	Leucyl-cystinyl aminopeptidase	1007.38				1046.87	2194.31	886.667
P97689	P97689	UT1_RAT	Slc14a1	Urea transporter 1			506.379			147.632	137.876
P97696	P97696	CYH3_RAT	Cyth3	Cytohesin-3	260.467						141.227
P97700	P97700	M2OM_RAT	Slc25a11	Mitochondrial 2-oxoglutarate/malate carrier protein			579.308				166.815
P97832	P97832	HAND1_RAT	Hand1	Heart- and neural crest derivatives-expressed protein 1							65.9692
P97852	P97852	DHB4_RAT	Hsd17b4	Peroxisomal multifunctional enzyme type 2		516.503	1111.01		1231.92	685.19	565.488
Q00566	Q00566	MECP2_RAT	Mecp2	Methyl-CpG-binding protein 2				402.921			172.04
Q00729	Q00715;A0A8I6AGQ8;A0A8I5ZLH6;A0A8I6A7P3;A0A8I5ZSA8;A0A8I6AFW8;Q00729;G3V9C7	H2B1A_RAT	H2bc1	Histone H2B type 1-A	82614.8	36912	136083	67575.3	75219.8	73251.6	64296
Q00981	Q00981	UCHL1_RAT	Uchl1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	1763.74		2207.01	2278.85	1314.84	3364.14	4975.81
Q01818	Q01818	VMAT1_RAT	Slc18a1	Chromaffin granule amine transporter	155.686					443.849	490.34
Q02356	Q02356	AMPD2_RAT	Ampd2	AMP deaminase 2	1216.96		777.602	1042.33		1555.74	950.278
Q02874	B1WC28;Q02874	H2AY_RAT	Macroh2a1	Core histone macro-H2A.1				556.68	584.563	879.767	315.741
Q03070	Q03070	CHIO_RAT	Chn2	Beta-chimaerin	576.95		1275.44			365.931	849.146
Q03114	Q03114	CDK5_RAT	Cdk5	Cyclin-dependent kinase 5							101.06
Q03555	Q03555	GEPH_RAT	Gphn	Gephyrin			164.965				181.824
Q04462	Q04462	SYVC_RAT	Vars1	Valine--tRNA ligase			132.643	833.778			503.756
Q05140	Q05140	AP180_RAT	Snap91	Clathrin coat assembly protein AP180	309.684		1070.27			708.374	352.343
Q05175	Q05175	BASP1_RAT	Basp1	Brain acid soluble protein 1							186.915
Q05695	Q05695	L1CAM_RAT	L1cam	Neural cell adhesion molecule L1							780.407
Q05982	Q05982	NDKA_RAT	Nme1	Nucleoside diphosphate kinase A	1010.77		3563.99	2318.8		4266.71	4719.64
Q06000	Q06000	LIPL_RAT	Lpl	Lipoprotein lipase							162.403
Q06486	Q06486	KC1D_RAT	Csnk1d	Casein kinase I isoform delta			203.685				179.757
Q06830	Q06830;Q63716;A0A0G2K3Z9	PRDX1_HUMAN	PRDX1	Peroxiredoxin-1	905.924	658.039	2049.31	1232.04	1915.54	1643	1143.17
Q06C60	Q06C60	Q06C60_RAT	Bola1	BolA family member 1			733.998			346.159	187.666
Q07009	Q07009	CAN2_RAT	Capn2	Calpain-2 catalytic subunit	582.271		1596.42			1388.88	674.904
Q07205	Q07205;A0A8I6AVQ3;A0A8I6ADE0;A0A8I5ZMQ1	IF5_RAT	Eif5	Eukaryotic translation initiation factor 5				1009.9		798.004	820.535
Q07936	Q07936	ANXA2_RAT	Anxa2	Annexin A2	2101.49	1300.19	4595.05	3884.62	2848.31	3111.83	2094.14
Q07984	Q07984	SSRD_RAT	Ssr4	Translocon-associated protein subunit delta			880.473			644.781	610.426
Q08013	Q08013	SSRG_RAT	Ssr3	Translocon-associated protein subunit gamma							155.541
Q08163	Q08163	CAP1_RAT	Cap1	Adenylyl cyclase-associated protein 1				459.192			101.294
Q08326	A0A8I6GKW6;Q08326	MSS4_RAT	Rabif	Guanine nucleotide exchange factor MSS4							408.131
Q08849	Q08849	STX3_RAT	Stx3	Syntaxin-3						254.818	128.759
Q09073	A0A8I6G2T3;Q05962;D3ZB81;Q09073	ADT2_RAT	Slc25a5	ADP/ATP translocase 2	4477.27		5844.67	3013.28	2409.04	4958.87	3814.57
Q09167	Q09167	SRSF5_RAT	Srsf5	Serine/arginine-rich splicing factor 5	2618.92		2827.8	3376.38		3655.43	4253.69
Q10728	Q10728	MYPT1_RAT	Ppp1r12a	Protein phosphatase 1 regulatory subunit 12A	1710.48		1080.02	583.905		1184.31	1337.77
Q10739	Q10739	MMP14_RAT	Mmp14	Matrix metalloproteinase-14							197.122
Q1HAQ0	Q1HAQ0	PCAT1_RAT	Lpcat1	Lysophosphatidylcholine acyltransferase 1			289.115				122.993
Q1JU68	Q1JU68	EIF3A_RAT	Eif3a	Eukaryotic translation initiation factor 3 subunit A	1218.98		1102.58	712.384		1656.49	1388.56
Q1LZ53	Q1LZ53	DNM3A_RAT	Dnmt3a	DNA (cytosine-5)-methyltransferase 3A							74.8003
Q29443	Q29443;P02788	TRFE_BOVIN	TF	Serotransferrin	3930.38	7394.93	6123.95	10723.1	7722.95	4897.87	1124.44
Q2EJA0	Q2EJA0	YAP1_RAT	Yap1	Transcriptional coactivator YAP1	558.674					419.218	261.583
Q2LAP6	Q2LAP6	TES_RAT	Tes	Testin	848.953		354.323				467.815
Q2LC84	Q2LC84	NUMB_RAT	Numb	Protein numb homolog							197.094
Q2PQA9	Q2PQA9	KINH_RAT	Kif5b	Kinesin-1 heavy chain			718.138			790.147	935.267
Q2THW7	Q2THW7	ZDHC5_RAT	Zdhhc5	Palmitoyltransferase ZDHHC5	424.436		275.117				239.712
Q2YDU8	Q2YDU8	SPNS1_RAT	Spns1	Protein spinster homolog 1							185.448
Q32KJ5	Q32KJ5	Q32KJ5_RAT	Gns	N-acetylglucosamine-6-sulfatase	505.444		108.361			696.091	563.436
Q32PX6	Q32PX6	Q32PX6_RAT	Rhog	Ras homolog family member G			310.927				110.615
Q32PZ3	Q32PZ3	UN45A_RAT	Unc45a	Protein unc-45 homolog A	1143.54		1141.78		1154.77	1369.69	86.7926
Q32ZI5	Q32ZI5	Q32ZI5_RAT	Defb2	Beta-defensin 2							129.312
Q3B7U9	Q3B7U9	FKBP8_RAT	Fkbp8	Peptidyl-prolyl cis-trans isomerase FKBP8	302.515		646.338		595.961		332.484
Q3B8N7	Q3B8N7	T22D4_RAT	Tsc22d4	TSC22 domain family protein 4							392.009
Q3B8Q1	Q3B8Q1	DDX21_RAT	Ddx21	Nucleolar RNA helicase 2							547.42
Q3B8Q2	Q3B8Q2	IF4A3_RAT	Eif4a3	Eukaryotic initiation factor 4A-III	897.78					838.642	539.848
Q3KR59	Q3KR59	UBP10_RAT	Usp10	Ubiquitin carboxyl-terminal hydrolase 10	245.082						249.482
Q3KR86	Q3KR86	MIC60_RAT	Immt	MICOS complex subunit Mic60 (Fragment)	922.466		719.605	666.885	500.848	769.012	388.499
Q3KRC5	Q3KRC5	DUS3L_RAT	Dus3l	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like						276.929	301.943
Q3KRD5	Q3KRD5	TOM34_RAT	Tomm34	Mitochondrial import receptor subunit TOM34			399.708			451.745	386.952
Q3KRD8	Q3KRD8	IF6_RAT	Eif6	Eukaryotic translation initiation factor 6	1106.28			1663.96			416.342
Q3KRE8	Q3KRE8	TBB2B_RAT	Tubb2b	Tubulin beta-2B chain	2307.62					688.435	1341.11
Q3LRZ1	Q3LRZ1	CRTC2_RAT	Crtc2	CREB-regulated transcription coactivator 2							116.105
Q3MHU1	Q3MHU1	Q3MHU1_RAT	Spag6l	Sperm associated antigen 6						477.818	142.889
Q3MID3	Q3MID3	ARFG2_RAT	Arfgap2	ADP-ribosylation factor GTPase-activating protein 2				418.452			410.45
Q3MIE4	Q3MIE4	VAT1_RAT	Vat1	Synaptic vesicle membrane protein VAT-1 homolog	19723.5		11816.8	18578.4	5314.83	20766.3	17365.2
Q3SWS8	Q3SWS8	RAE1L_RAT	Rae1	mRNA export factor	345.448		360.268	238.419	104.453	542.561	269.011
Q3SWT4	Q3SWT4	IWS1_RAT	Iws1	Protein IWS1 homolog							87.6281
Q3SZR3	Q3SZR3	A1AG_BOVIN	ORM1	Alpha-1-acid glycoprotein	2988.04	2603.61	3824.72	4540.11	7248.63	3371.3	315.934
Q3T052	Q3T052	ITIH4_BOVIN	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	238239	311903	189637	282165	286651	154992	28123.3
Q3T1J1	A0A8I5ZPE3;Q3T1J1;G3V7J7	IF5A1_RAT	Eif5a	Eukaryotic translation initiation factor 5A-1	719.675					317.844	261.731
Q3ZAV8	Q3ZAV8	EDC4_RAT	Edc4	Enhancer of mRNA-decapping protein 4	394.091					476.376	226.214
Q496Z0	A0A8I6AAF3;A0A8I5ZYM7;Q496Z0;A0A8I5ZUV6	ELP2_RAT	Elp2	Elongator complex protein 2							156.885
Q497A9	Q497A9	Q497A9_RAT	Eif4ebp2	Eukaryotic translation initiation factor 4E binding protein 2							222.522
Q497B0	Q497B0	NIT2_RAT	Nit2	Omega-amidase NIT2	499.064		654.841	886.145		219.194	241.877
Q498U4	Q498U4	SARNP_RAT	Sarnp	SAP domain-containing ribonucleoprotein	2482.64		2161.42	1644.44	370.121	2668.95	3165.64
Q499N6	Q499N6	UBXN1_RAT	Ubxn1	UBX domain-containing protein 1	405.84			670.609			510.343
Q499S6	Q499S6	Q499S6_RAT	Ctsf	Cathepsin F	859.346						766.673
Q4AE70	Q4AE70	CARM1_RAT	Carm1	Histone-arginine methyltransferase CARM1						293.484	72.7115
Q4FZT9	Q4FZT9	PSMD2_RAT	Psmd2	26S proteasome non-ATPase regulatory subunit 2	384.204						384.399
Q4FZX7	Q4FZX7	SRPRB_RAT	Srprb	Signal recognition particle receptor subunit beta						203.038	310.303
Q4G017	Q4G017	NISCH_RAT	Nisch	Nischarin	563.796		825.048			682.81	568.682
Q4G063	Q4G063	CREL2_RAT	Creld2	Protein disulfide isomerase Creld2	344.238						95.1647
Q4G075	Q4G075	ILEUA_RAT	Serpinb1a	Leukocyte elastase inhibitor A			634.305	1090.62			140.802
Q4KLG9	Q4KLG9	ZFN2B_RAT	Zfand2b	AN1-type zinc finger protein 2B	527.454		380.388			405.597	625.852
Q4KLH4	Q4KLH4	PSPC1_RAT	Pspc1	Paraspeckle component 1	543.712		1145.58				365.106
Q4KLH5	A0A8I6AVV4;Q4KLH5	AGFG1_RAT	Agfg1	Arf-GAP domain and FG repeat-containing protein 1						317.018	260.673
Q4KLN3	Q4KLN3	Q4KLN3_RAT	Srpk1	SRSF protein kinase 1						429.66	211.84
Q4KLN7	Q4KLN7	ARFG3_RAT	Arfgap3	ADP-ribosylation factor GTPase-activating protein 3	657.094		1237.12			803.452	613.669
Q4KLY4	Q4KLY4	RING2_RAT	Rnf2	E3 ubiquitin-protein ligase RING2			251.728	336.219			312.898
Q4KM32	Q4KM32	MUS81_RAT	Mus81	Crossover junction endonuclease MUS81	999.789					343.198	905.483
Q4KM35	Q4KM35	PSB10_RAT	Psmb10	Proteasome subunit beta type-10			657.549			1125.03	741.856
Q4KM73	Q4KM73	KCY_RAT	Cmpk1	UMP-CMP kinase			258.016	786.953		348.552	230.547
Q4KM74	Q4KM74	SC22B_RAT	Sec22b	Vesicle-trafficking protein SEC22b	915.423		1596.68	891.52		1736.68	656.16
